height,weight,label
196,89,normal
147,57,fat
181,67,normal
167,42,thin
158,60,normal
200,82,normal
172,67,normal
200,42,thin
130,90,fat
197,81,normal
131,90,fat
182,86,fat
152,80,fat
198,88,normal
130,82,fat
189,59,thin
143,70,fat
128,53,fat
127,75,fat
146,88,fat
143,72,fat
174,49,thin
139,70,fat
183,50,thin
165,83,fat
174,63,normal
121,83,fat
199,81,normal
128,82,fat
113,71,fat
140,81,fat
158,44,thin
136,65,fat
135,60,fat
192,51,thin
169,73,fat
136,41,normal
133,56,fat
158,83,fat
174,58,normal
122,85,fat
169,47,thin
155,87,fat
155,82,fat
184,77,normal
158,80,fat
198,46,thin
156,88,fat
169,63,normal
118,44,fat
143,84,fat
153,48,normal
195,75,normal
137,45,normal
161,52,normal
185,53,thin
173,64,normal
144,53,fat
162,78,fat
119,62,fat
113,78,fat
137,78,fat
181,81,normal
196,68,thin
185,48,thin
145,67,fat
116,88,fat
169,50,thin
127,44,fat
170,51,thin
158,53,normal
132,77,fat
186,41,thin
196,68,thin
114,72,fat
146,76,fat
189,62,thin
166,51,normal
142,74,fat
166,66,normal
144,54,fat
195,66,thin
189,44,thin
153,47,normal
142,63,fat
139,79,fat
111,74,fat
114,83,fat
136,81,fat
140,53,fat
191,51,thin
156,44,thin
189,56,thin
131,53,fat
115,63,fat
141,72,fat
127,46,fat
192,65,thin
122,56,fat
195,42,thin
193,68,thin
124,48,fat
152,86,fat
193,68,thin
121,79,fat
159,40,thin
178,75,normal
112,88,fat
143,85,fat
110,83,fat
185,85,normal
194,52,thin
196,53,thin
198,79,normal
195,54,thin
131,65,fat
122,80,fat
143,61,fat
155,50,normal
176,70,normal
123,77,fat
119,62,fat
137,79,fat
192,55,thin
169,42,thin
170,43,thin
122,85,fat
150,56,normal
113,46,fat
166,80,fat
159,68,fat
190,62,thin
152,72,fat
163,76,fat
117,57,fat
179,53,thin
132,55,fat
147,77,fat
117,51,fat
134,42,normal
119,82,fat
115,65,fat
167,85,fat
190,45,thin
114,53,fat
155,57,normal
191,45,thin
179,63,normal
182,86,fat
136,63,fat
183,63,normal
120,87,fat
172,50,thin
193,62,thin
122,90,fat
173,58,normal
130,60,fat
176,71,normal
200,84,normal
165,41,thin
166,51,normal
130,62,fat
152,82,fat
120,46,fat
184,53,thin
131,49,fat
114,81,fat
119,73,fat
121,75,fat
129,70,fat
196,76,normal
169,46,thin
133,68,fat
176,62,normal
110,75,fat
192,78,normal
116,88,fat
128,46,fat
122,85,fat
159,84,fat
161,45,thin
159,77,fat
175,81,fat
170,47,thin
195,81,normal
136,88,fat
138,77,fat
160,66,fat
126,43,fat
117,47,fat
124,85,fat
124,49,fat
122,59,fat
199,82,normal
191,87,normal
199,80,normal
146,81,fat
187,76,normal
184,75,normal
111,74,fat
197,50,thin
193,50,thin
163,76,fat
187,44,thin
187,70,normal
138,62,fat
179,84,fat
147,53,normal
129,42,fat
119,89,fat
179,44,thin
133,60,fat
126,83,fat
153,69,fat
123,75,fat
198,46,thin
186,76,normal
162,67,fat
160,63,normal
162,64,normal
178,73,normal
113,64,fat
174,75,normal
161,76,fat
137,42,normal
126,63,fat
162,67,fat
128,64,fat
137,44,normal
143,75,fat
123,76,fat
156,60,normal
151,51,normal
183,74,normal
159,47,normal
200,40,thin
164,48,thin
130,77,fat
180,55,thin
169,69,normal
178,52,thin
149,62,fat
142,47,normal
191,83,normal
162,71,fat
129,59,fat
117,53,fat
196,86,normal
112,74,fat
188,75,normal
187,87,normal
137,88,fat
181,61,normal
171,60,normal
181,44,thin
131,70,fat
149,89,fat
119,71,fat
110,40,fat
187,86,normal
148,55,fat
140,50,fat
166,52,normal
165,63,normal
184,43,thin
173,68,normal
147,74,fat
149,82,fat
115,70,fat
195,40,thin
170,54,normal
200,69,thin
117,88,fat
152,66,fat
172,43,thin
118,64,fat
119,69,fat
174,50,thin
190,82,normal
137,72,fat
167,83,fat
114,42,fat
148,67,fat
163,60,normal
142,81,fat
164,81,fat
177,89,fat
